hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_001,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=2330s,2330,2540,Tc 4d,Th 6d,Jh 7h Ah Jd 5s,
hcl_ivey_dwan_garrett_004,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3036s,3036,3246,Kh 3h,4s 2h,5c 6c Js,
hcl_ivey_dwan_garrett_006,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3603s,3603,3813,As 9c,4s 2h,Jh 5c 2c,
hcl_ivey_dwan_garrett_008,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4089s,4089,4299,Kh 9c,8h 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_009,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4300s,4300,4510,As Jc,8d 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_010,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4568s,4568,4778,Kh Jc,8c 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_011,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4836s,4836,5046,Kh 3h,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_012,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5087s,5087,5297,Kh Qd,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_013,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5360s,5360,5570,Kh Td,4s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_014,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5572s,5572,5782,As Jc,8h 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_015,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5799s,5799,6009,5h Jc,4s 3c,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_017,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6277s,6277,6487,Kh Qd,8h 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_018,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6526s,6526,6736,Kh 3h,4s 2h,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_019,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6777s,6777,6987,As 3h,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_020,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7020s,7020,7230,As Qc,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_021,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7252s,7252,7462,As 5d,3s 6d,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_022,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7472s,7472,7682,Kh Td,4s 2h,Jh 5c Ah,
hcl_ivey_dwan_garrett_024,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7915s,7915,8125,Kh 9c,8h 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_025,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8143s,8143,8353,As 2d,4s 2h,Jh 5c 2c Js 5s,
hcl_ivey_dwan_garrett_026,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8354s,8354,8564,As Td,3s 6d,Jh 5c Ah 3d,
hcl_ivey_dwan_garrett_027,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8597s,8597,8807,As 7s,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_028,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8807s,8807,9017,Kh Td,4s 2h,Jh 5c Ah,
hcl_ivey_dwan_garrett_029,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9095s,9095,9305,Kh Td,4s 2h,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_030,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9424s,9424,9634,Kh Jc,8h 3c,Jh 7h Ah Js,
hcl_ivey_dwan_garrett_031,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9660s,9660,9870,As 7s,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_036,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10906s,10906,11116,Kh Td,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_037,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11141s,11141,11351,As Td,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_038,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11354s,11354,11564,As Qd,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_039,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11636s,11636,11846,Kh Td,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_040,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11847s,11847,12057,Kh Td,4s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_041,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=12066s,12066,12276,Kh Td,4s 2h,Jh 5c Ah 2c,
