hand_id,top_player,bottom_player,top_cards,bottom_cards,board,winner,actions
hcl_ivey_dwan_garrett_dense_001,unknown,unknown,Tc 4d,Th 6d,Jh 7h Ah Jd 5s,split,GARRETT bet
hcl_ivey_dwan_garrett_dense_002,MATT,unknown,As Td,3s 6d,Jh 5c Ah Js,,
hcl_ivey_dwan_garrett_dense_007,GARRETT,unknown,Kh 3h,4s 2h,5c 6c Js,,GARRETT bets | LUCKY call
hcl_ivey_dwan_garrett_dense_010,unknown,unknown,As 9c,8c 3c,Jh 5c Ah 2c,,
hcl_ivey_dwan_garrett_dense_011,MATT,LUCKY,As 9c,4s 2h,Jh 5c 2c,,
hcl_ivey_dwan_garrett_dense_014,GARRETT,LUCKY,Kh 9c,8h 6d,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_015,unknown,unknown,As Jc,4s 6d,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_016,unknown,unknown,Kh Jc,3s 3c,Jh 6c Js 5s,,
hcl_ivey_dwan_garrett_dense_017,unknown,unknown,Kh Jc,4s 2h,Jh 6c Js 5s,,
hcl_ivey_dwan_garrett_dense_018,unknown,unknown,As 9c,4s 3c,5c Ah,,PHIL check
hcl_ivey_dwan_garrett_dense_019,unknown,unknown,As Td,8d 3c,Jh 5c 6c Js,,PHIL check | DR ELI call
hcl_ivey_dwan_garrett_dense_020,unknown,unknown,Kh 3h,4s 2h,Jh 5c 6c Js,,PHIL check | DR ELI call | DYLAN bets | DYLAN bet | DYLAN bets
hcl_ivey_dwan_garrett_dense_021,KRISH,DYLAN,Kh Qd,4s 6d,Jh 5c 6c Js,,DYLAN bets | DYLAN bet | DYLAN bets | DYLAN call
hcl_ivey_dwan_garrett_dense_022,unknown,unknown,Kh Qd,4s 2h,Jh 5c 6c Js,,DYLAN call | LUCKY bet | DYLAN calls
hcl_ivey_dwan_garrett_dense_023,unknown,unknown,Kh Td,4s 6d,Jh 5c 2c Js,,LUCKY bet | DYLAN calls
hcl_ivey_dwan_garrett_dense_024,unknown,unknown,Kh Td,4s 6d,Jh 5c 6c Js,,LUCKY bet
hcl_ivey_dwan_garrett_dense_025,unknown,LUCKY,As Td,4s 2h,Jh 5c 6c Js,,LUCKY bet | GARRETT raise
hcl_ivey_dwan_garrett_dense_026,GARRETT,LUCKY,As Jc,4s 3c,Jh 5c Ah 2c,,GARRETT raise | LUCKY calls | LUCKY bet
hcl_ivey_dwan_garrett_dense_027,GARRETT,unknown,5h Jc,4s 3c,Jh 5c Ah 2c,,LUCKY bet
hcl_ivey_dwan_garrett_dense_028,unknown,GARRETT,Kh Jc,8h 3c,Jh 5c Ah Js,,
hcl_ivey_dwan_garrett_dense_030,unknown,unknown,5h 2d,3s 2h,Jh 5c Ah Js,,GARRETT bets
hcl_ivey_dwan_garrett_dense_031,DR ELI,KRISH,Kh Qd,8h 3c,Jh 5c Ah Js,,
hcl_ivey_dwan_garrett_dense_032,KRISH,unknown,Kh 3h,4s 3c,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_033,DYLAN,unknown,Kh 3h,4s 2h,Jh 5c 6c Js 5s,DYLAN,
hcl_ivey_dwan_garrett_dense_035,LUCKY,DYLAN,As 3h,3s 6d,Jh 5c 6c Js,,
hcl_ivey_dwan_garrett_dense_036,unknown,unknown,As 7s,3s 6d,Jh 5c Ah Js,,DYLAN raise
hcl_ivey_dwan_garrett_dense_037,unknown,unknown,As Qc,3s 3c,Jh 5c Ah Js,,DYLAN raise
hcl_ivey_dwan_garrett_dense_038,unknown,unknown,As 2d,3s 3c,Jh 5c Ah Js,,LUCKY call
hcl_ivey_dwan_garrett_dense_039,unknown,unknown,As 5d,3s 6d,Jh 5c Ah 2c,,LUCKY call | GARRETT bets
hcl_ivey_dwan_garrett_dense_040,unknown,LUCKY,As Qc,3s 6d,Jh 5c Ah Js,,GARRETT bets
hcl_ivey_dwan_garrett_dense_041,unknown,unknown,As Td,8h 6d,Jh 5c Ah 2c 5s,unknown,
hcl_ivey_dwan_garrett_dense_042,unknown,MATT,As Td,4s 2h,Jh 5c Ah Js,,
hcl_ivey_dwan_garrett_dense_044,LUCKY,DYLAN,Kh 9c,8h 6d,Jh 5c Ah Js,,
hcl_ivey_dwan_garrett_dense_045,LUCKY,unknown,Kh 3h,4s 2h,Jh 5c 6c Js,,LUCKY bet
hcl_ivey_dwan_garrett_dense_046,unknown,unknown,As 2d,4s 2h,Jh 5c 2c Js 5s,unknown,LUCKY bet | DYLAN bet | DYLAN call
hcl_ivey_dwan_garrett_dense_047,unknown,unknown,As 2d,3s 6d,Jh 5c Ah 3d,,DYLAN bet | DYLAN call | DYLAN call
hcl_ivey_dwan_garrett_dense_048,unknown,unknown,As Td,3s 2h,Jh 5c Ah 3d,,DYLAN bet | DYLAN call | DYLAN call
hcl_ivey_dwan_garrett_dense_049,unknown,DYLAN,As 5d,8h 6d,Jh 5c Ah 3d,,
hcl_ivey_dwan_garrett_dense_050,unknown,unknown,As 7s,4s 2h,Jh 5c Ah Js,,
