hand_id,review_url,start_seconds,end_seconds,top_cards,bottom_cards,board,pot
hcl_ivey_dwan_garrett_dense_001,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=2330s,2330,2540,Tc 4d,Th 6d,Jh 7h Ah Jd 5s,
hcl_ivey_dwan_garrett_dense_002,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=2429s,2429,2639,As Td,3s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_007,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3036s,3036,3246,Kh 3h,4s 2h,5c 6c Js,
hcl_ivey_dwan_garrett_dense_010,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3496s,3496,3706,As 9c,8c 3c,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_011,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=3603s,3603,3813,As 9c,4s 2h,Jh 5c 2c,
hcl_ivey_dwan_garrett_dense_014,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4089s,4089,4299,Kh 9c,8h 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_015,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4236s,4236,4446,As Jc,4s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_016,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4383s,4383,4593,Kh Jc,3s 3c,Jh 6c Js 5s,
hcl_ivey_dwan_garrett_dense_017,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4498s,4498,4708,Kh Jc,4s 2h,Jh 6c Js 5s,
hcl_ivey_dwan_garrett_dense_018,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4631s,4631,4841,As 9c,4s 3c,5c Ah,
hcl_ivey_dwan_garrett_dense_019,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4736s,4736,4946,As Td,8d 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_020,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4836s,4836,5046,Kh 3h,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_021,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=4960s,4960,5170,Kh Qd,4s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_022,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5087s,5087,5297,Kh Qd,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_023,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5196s,5196,5406,Kh Td,4s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_024,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5360s,5360,5570,Kh Td,4s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_025,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5523s,5523,5733,As Td,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_026,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5693s,5693,5903,As Jc,4s 3c,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_027,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5799s,5799,6009,5h Jc,4s 3c,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_028,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=5919s,5919,6129,Kh Jc,8h 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_030,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6181s,6181,6391,5h 2d,3s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_031,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6277s,6277,6487,Kh Qd,8h 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_032,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6402s,6402,6612,Kh 3h,4s 3c,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_033,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6526s,6526,6736,Kh 3h,4s 2h,Jh 5c 6c Js 5s,
hcl_ivey_dwan_garrett_dense_035,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6777s,6777,6987,As 3h,3s 6d,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_036,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=6913s,6913,7123,As 7s,3s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_037,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7020s,7020,7230,As Qc,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_038,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7153s,7153,7363,As 2d,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_039,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7252s,7252,7462,As 5d,3s 6d,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_040,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7358s,7358,7568,As Qc,3s 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_041,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7457s,7457,7667,As Td,8h 6d,Jh 5c Ah 2c 5s,
hcl_ivey_dwan_garrett_dense_042,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7555s,7555,7765,As Td,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_044,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=7915s,7915,8125,Kh 9c,8h 6d,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_045,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8014s,8014,8224,Kh 3h,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_046,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8143s,8143,8353,As 2d,4s 2h,Jh 5c 2c Js 5s,
hcl_ivey_dwan_garrett_dense_047,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8237s,8237,8447,As 2d,3s 6d,Jh 5c Ah 3d,
hcl_ivey_dwan_garrett_dense_048,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8329s,8329,8539,As Td,3s 2h,Jh 5c Ah 3d,
hcl_ivey_dwan_garrett_dense_049,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8429s,8429,8639,As 5d,8h 6d,Jh 5c Ah 3d,
hcl_ivey_dwan_garrett_dense_050,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8597s,8597,8807,As 7s,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_051,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8704s,8704,8914,Kh 9c,4s 2h,Jh 5c Ah Js 5s,
hcl_ivey_dwan_garrett_dense_052,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8804s,8804,9014,Kh 3h,4s 2h,Jh 5c Ah,
hcl_ivey_dwan_garrett_dense_053,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8897s,8897,9107,Kh Td,8c 6d,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_054,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=8988s,8988,9198,Kh Td,4s 2h,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_055,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9095s,9095,9305,Kh Td,4s 2h,Jh 5c Ah 2c,
hcl_ivey_dwan_garrett_dense_056,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9245s,9245,9455,Kh Td,4s 2h,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_057,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9424s,9424,9634,Kh Jc,8h 3c,Jh 7h Ah Js,
hcl_ivey_dwan_garrett_dense_058,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9584s,9584,9794,As Td,4s 2h,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_059,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=9718s,9718,9928,As Td,4s 2h,Jh 5c 6c Js,
hcl_ivey_dwan_garrett_dense_062,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10110s,10110,10320,As Td,4s 2h,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_063,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10204s,10204,10414,As 7s,4s 2h,Jh 7h 6c Js,
hcl_ivey_dwan_garrett_dense_069,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=10906s,10906,11116,Kh Td,3s 6d,Jh 5c 2c Js,
hcl_ivey_dwan_garrett_dense_070,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11141s,11141,11351,As Td,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_071,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11234s,11234,11444,As Td,4s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_072,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11354s,11354,11564,As Qd,3s 3c,Jh 5c Ah Js,
hcl_ivey_dwan_garrett_dense_073,https://www.youtube.com/watch?v=bG7K_zq0MoQ&t=11478s,11478,11688,As Qd,8h 3c,Jh 5c Ah Js,
