site,player,n_hands,m,sd,bb100,se,lo,hi
ONG,GC3wAb64nieD1ifuFCJk1g,8762,0.5448649442429222,11.578134266048814,54.48649442429222,12.369067431653813,30.243122258250747,78.72986659033369
PTY,DvIIkvFDAbYHlruNLbc4bg,26826,0.5215853432515123,9.612680571849877,52.15853432515123,5.869032992348274,40.65522966014861,63.661838990153846
PTY,EKNGmXlmV0Hwu1SULuOQuA,8117,0.508058289585258,10.405942400108659,50.8058289585258,11.55004415844659,28.167742407970483,73.44391550908112
PTY,shirY8xGfBJJeyhfh5r3lw,5646,0.49478643146989154,10.279691382880342,49.47864314698916,13.680741583388546,22.664389643547608,76.2928966504307
PTY,JgSSxWKK+SJOzPeJAUgBAg,5654,0.47631562195786153,9.746575500884713,47.63156219578615,12.962063636980146,22.225917467305067,73.03720692426724
PTY,4LAD8Gn+dSDRaswNeDi/3A,9158,0.47216798939489335,10.382136084833492,47.21679893948934,10.848917272622595,25.95292108514905,68.48067679382962
ABS,X+u4T/E5ANkyZLKm1YjqwQ,10032,0.447562826789568,16.96341206899068,44.7562826789568,16.93633557596228,11.561064950070737,77.95150040784287
PTY,Z8SMtbowaR83cWd6FAIhVQ,6497,0.4472523228421163,11.239084672993641,44.72523228421163,13.943586966607166,17.395801829661583,72.05466273876168
PTY,GmLeWhhd4zi1Crmcc6sOJg,7937,0.4320153393545063,9.528573799759148,43.201533935450634,10.695466008679581,22.238420558438655,64.16464731246262
PS,aWEBY561Na803Zn/YuCHVg,8380,0.42219958384487966,7.980677712740618,42.21995838448797,8.7180180436467,25.132643018940435,59.3072737500355
ONG,vpd3Q5U0oKbzwfELlaKuww,13341,0.4206892290558828,11.001825093713565,42.06892290558828,9.525121940133566,23.39968390292649,60.73816190825007
PTY,qbjs2JtMJf9AuonbWwISOw,7409,0.4201365545440306,7.772465777455785,42.01365545440306,9.029818501196935,24.315211192057063,59.71209971674905
ONG,rPD4nxZcCMMtDra6guHqqA,6345,0.41917493959714147,13.91745718269996,41.91749395971415,17.472058721990706,7.672258864612367,76.16272905481594
PTY,5MkrFJ5iDB7sK7cd7JMRnA,8890,0.4173620913207062,8.624026951334919,41.73620913207062,9.146590263608546,23.80889221539787,59.66352604874337
PTY,MLP9SyXoLNKkAnZkEUQtWQ,8806,0.4156057657896051,10.86499032566152,41.560576578960514,11.578172171562246,18.867359122698513,64.25379403522251
PS,GH9LYGHkTiNqQMmDTOgG2Q,13856,0.40926990228948157,9.058353125991147,40.926990228948156,7.6953842413727696,25.844037115857528,56.00994334203878
PTY,Vv3ekXMUoegwLZ4dzq9mYg,6960,0.3976174072544465,10.530802215679163,39.76174072544465,12.622832994047826,15.020988057110916,64.5024933937784
ONG,SDPBYa7Uf4G7foKyTzzU+w,6075,0.3935728744187473,10.2691523880513,39.357287441874725,13.175328656868237,13.53364327441298,65.18093160933647
PTY,02yWtiT4/p4FpY43GMkjmw,7762,0.3906640892128943,12.077271048169465,39.06640892128943,13.70824930128382,12.198240290773143,65.93457755180572
PTY,9haQ/qX2HFQ5Bf0D8Wknug,16954,0.38171160132917,10.103667654575979,38.171160132916995,7.759664831538828,22.962217063100894,53.380103202733096
FTP,njQNforFFxikcV0dFLy3pw,5380,0.37157667264979344,9.78455988710599,37.157667264979345,13.33982578655155,11.011608723338306,63.303725806620385
ONG,K2Pr0wL3zw8i5TlVS9F+cw,7429,0.3662250897569938,10.952517301254733,36.62250897569938,12.707167912132581,11.716459867919525,61.52855808347924
PS,fNti9YuyErjrrBIUhdVa/A,5316,0.365570129522531,7.7858515463197895,36.557012952253096,10.678583122863628,15.626990031440386,57.48703587306581
PS,bwxHnHrX5U30W1lnhAOqNA,9983,0.3620127133874339,7.632499460515406,36.20127133874339,7.638995368513864,21.228840416456215,51.17370226103056
PTY,cA+Iy1ZcVbiCrJ9zoUEMGQ,9289,0.3609339872900297,7.480553871618106,36.09339872900297,7.761564545389646,20.880732220039263,51.30606523796668
PS,h/U5Ea7Y+Jkemx4LN9SFWg,6452,0.3582544194041334,7.657103161151107,35.82544194041334,9.532730579149566,17.14129000528019,54.50959387554649
PTY,myJbOhTYv/R/XgZEHZSoEw,8610,0.3517516872496209,8.062606780299049,35.17516872496209,8.689082159422759,18.144567692493485,52.2057697574307
PTY,C8sK+WUl3Tw15iXMp/DcIA,5477,0.3510246630020063,7.574359791955568,35.10246630020063,10.234686879225025,15.042480016919583,55.16245258348168
ABS,9iP7+rPC/bWJQ9wOkbpE8w,5954,0.35021103687239025,15.96242062372323,35.02110368723903,20.68684857613323,-5.525119521982106,75.56732689646016
ONG,1uU/0Cf6DACEea9IL96S1w,8427,0.34857086706395973,11.254805785296265,34.857086706395975,12.260311603429727,10.82687596367371,58.887297449118236
PS,lwSPJc0+lIm7z4+ybvlVXQ,11003,0.34853366490358345,8.65197099157662,34.85336649035835,8.248205985022215,18.686882759714806,51.01985022100189
PTY,eGrc5f50Hr6lXG9UfRvEjg,14532,0.3420864022481738,8.516523187422388,34.20864022481738,7.064796206957838,20.361639659180018,48.055640790454746
FTP,l5gUGCovRUP56UHG7xQ8NA,6169,0.33979251398406785,7.631560219326788,33.97925139840679,9.716412642183528,14.935082619727073,53.02342017708651
ONG,2HBiQhFpe1uYFM7n3B1O0A,5435,0.3348050494298764,11.78791601166619,33.480504942987636,15.989587452346013,2.1409135363894514,64.82009634958582
PTY,9MFSCjySLjZOYpIqTBkijA,6531,0.33023143433578583,8.258204545037247,33.02314343357858,10.218703396633353,12.99448477617721,53.051802090979955
ABS,ZvUzSVOOKZwfU5rLMFTUFg,6467,0.32470012584636954,20.305646733817813,32.470012584636955,25.25023333981646,-17.02044476140331,81.96046993067722
PS,K4zNK4CwpTxdZKecGIin6w,5096,0.32464416572397203,11.408032027189053,32.464416572397205,15.980708219320999,1.142228462528049,63.78660468226636
PS,K9BiEdGF/r+JWL6h4ws/Hg,8935,0.3236500140302463,9.838244024731276,32.36500140302463,10.408072578874478,11.965179148430654,52.76482365761861
PTY,X/VpMy37bJjutP9nStPZDg,7303,0.3158511915475622,7.620894462695394,31.58511915475622,8.917750079568249,14.106328998802454,49.06390931070999
IPN,RdoxhIgdsPeeEDfQtPAazA,7054,0.312337326570851,4.682582128008396,31.2337326570851,5.575292738540202,20.306158889546303,42.161306424623895
PS,p/aReKdeU9LHD7evGw7GVQ,5258,0.3079564507126797,8.899478492905645,30.79564507126797,12.273099834465908,6.74036939571479,54.850920746821146
PS,0cD+QBSgg7iaTi47fEwvFQ,6342,0.3078577361932804,6.689279548060946,30.78577361932804,8.39974741628424,14.322268683410929,47.249278555245155
ONG,RPvcrPNAkzCQQMiF4CgJwQ,6351,0.3071668818890708,11.789094370884225,30.71668818890708,14.793106634974839,1.7221991843563984,59.711177193457765
ONG,Ba4WLBMcli6Io15AsUdHfQ,5978,0.2985393665939714,9.410902546658539,29.85393665939714,12.171758328502404,5.997290335532426,53.71058298326185
ABS,DkWRW5c+y44NWqhXlfqRNA,6140,0.2975454964781186,13.561600034625068,29.754549647811864,17.307197364608058,-4.167557186819927,63.676656482443654
PS,+8IRQMv2G9auUkEymAQt+A,5886,0.2975433250440451,10.45912461185742,29.754332504404513,13.632804550629599,3.0340355851705,56.474629423638525
ABS,sCsQGI0NrzNv63rboTnKiA,5758,0.289859933918714,9.195355229289664,28.9859933918714,12.118048351700823,5.234618622537788,52.73736816120501
ONG,1lYakO7Y0QZSzs+NZ4+Tcw,6041,0.28978066524884455,9.461285068766559,28.978066524884454,12.172946410842632,5.119091559632896,52.837041490136016
PS,bYlyZfBRCGzQ1GLogp5nlg,5203,0.28953560889288127,8.460184683422519,28.953560889288127,11.728782445197579,5.965147296700874,51.94197448187538
ABS,7UMWp9LYV/jRp2xl0e0gmA,6596,0.2863405450098126,10.039226925686423,28.63405450098126,12.361180485613778,4.406140749178256,52.861968252784266
IPN,FvjmXM8L0rWcIX/eKMbICQ,17536,0.2840043431161529,6.862618394949167,28.400434311615292,5.182324238103587,18.24307880493226,38.557789818298325
ABS,4mVkxlh9h189uiv0Cg1fFQ,5263,0.2838759290151059,10.722555533943112,28.38759290151059,14.78024452801739,-0.5816863734034925,57.35687217642467
ABS,L4t/lZDRnnvXVO2dchlKTA,7147,0.2812508745117673,12.614079906477127,28.12508745117673,14.920854202943666,-1.1197867865928544,57.36996168894631
PS,BaTYtqErxLXYwPz1hEgWHQ,10427,0.28088444175786925,7.995860761289192,28.088444175786925,7.830428637923649,12.740804045456573,43.43608430611728
